ticker_code,company_name,last_update,status
101160,월덱스,2026-02-09,EXISTING
078350,한양디지텍,2026-02-09,EXISTING
015360,INVENI,2026-02-09,EXISTING
448900,한국피아이엠,2026-02-09,EXISTING
086390,유니테스트,2026-02-09,EXISTING
138490,코오롱ENP,2026-02-09,EXISTING
482630,삼양엔씨켐,2026-02-09,EXISTING
357120,코람코라이프인프라리츠,2026-02-09,EXISTING
002710,TCC스틸,2026-02-09,EXISTING
314930,바이오다인,2026-02-09,EXISTING
354320,알멕,2026-02-09,EXISTING
006110,삼아알미늄,2026-02-09,EXISTING
034950,한국기업평가,2026-02-09,EXISTING
005610,SPC삼립,2026-02-09,EXISTING
033640,네패스,2026-02-09,EXISTING
344820,KCC글라스,2026-02-09,EXISTING
029460,케이씨,2026-02-09,EXISTING
298830,슈어소프트테크,2026-02-09,EXISTING
168360,펨트론,2026-02-09,EXISTING
046890,서울반도체,2026-02-09,EXISTING
340570,티앤엘,2026-02-09,EXISTING
079940,가비아,2026-02-09,EXISTING
394800,쓰리빌리언,2026-02-09,EXISTING
005945,NH투자증권우,2026-02-09,EXISTING
